messages_amount,message_size,client_amount,qos_spec,experiment_number,experiment_times,run_number
1,100,1,0,1,10,run_1.csv
10,100,1,0,2,10,run_2.csv
100,100,1,0,3,10,run_3.csv
1000,100,1,0,4,10,run_4.csv
10000,100,1,0,5,10,run_5.csv
100000,100,1,0,6,10,run_6.csv
1,1000,1,0,7,10,run_7.csv
1,10000,1,0,8,10,run_8.csv
1,100000,1,0,9,10,run_9.csv
10,1000,1,0,10,10,run_10.csv
10,10000,1,0,11,10,run_11.csv
10,100000,1,0,12,10,run_12.csv
100,1000,1,0,13,10,run_13.csv
100,10000,1,0,14,10,run_14.csv
100,100000,1,0,15,10,run_15.csv
1000,1000,1,0,16,10,run_16.csv
1000,10000,1,0,17,10,run_17.csv
1000,100000,1,0,18,10,run_18.csv
10000,1000,1,0,19,10,run_19.csv
10000,10000,1,0,20,10,run_20.csv
10000,100000,1,0,21,10,run_21.csv
10,100,100,0,22,10,run_22.csv
10,100,1000,0,23,10,run_23.csv
10,1000,1000,0,24,10,run_24.csv
10,1000,100,0,25,10,run_25.csv
100,100,100,0,26,10,run_26.csv
100,100,1000,0,27,10,run_27.csv
10,100,100,2,28,10,run_28.csv
10,100,1000,2,29,10,run_29.csv
10,1000,1000,2,30,10,run_30.csv
100,1000,1000,2,31,10,run_31.csv
100000,100,1,2,32,10,run_32.csv
