time,cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,packets_received,cpu_temperature
14:07:00.754471,0.2,600.0,891674624,702050304,21.3,164777984,417923072,0,0.0,1236345,51.54
14:07:01.766621,14.6,1200.0,891674624,701743104,21.3,165085184,417615872,0,0.0,1243500,52.078
14:07:02.780358,15.1,1000.0,891674624,701423616,21.3,165404672,417296384,0,0.0,1251736,52.616
14:07:03.794192,17.0,1000.0,891674624,701489152,21.3,165339136,417394688,0,0.0,1259955,53.692
14:07:04.807997,15.0,1000.0,891674624,701362176,21.4,165556224,417136640,0,0.0,1268109,53.692
14:07:05.847359,14.5,1050.0,891674624,701108224,21.4,165744640,416980992,0,0.0,1276460,53.692
14:07:06.868671,14.7,1075.0,891674624,701132800,21.4,165654528,417038336,0,0.0,1284787,53.692
14:07:07.882694,14.2,1000.0,891674624,701362176,21.3,165490688,417234944,0,0.0,1293007,54.768
14:07:08.896741,15.9,1000.0,891674624,701239296,21.4,165580800,417214464,0,0.0,1301246,55.306
14:07:09.910768,16.3,1000.0,891674624,701489152,21.3,165396480,417296384,0,0.0,1309405,55.306
14:07:10.923301,13.9,1200.0,891674624,701165568,21.4,165654528,417038336,0,0.0,1317288,55.844
14:07:11.937150,14.2,1000.0,891674624,701394944,21.3,165392384,417202176,0,0.0,1325491,55.306
14:07:12.949400,15.6,1200.0,891674624,701329408,21.3,165490688,417202176,0,0.0,1333663,55.844
14:07:13.962450,14.6,1200.0,891674624,701362176,21.4,165556224,417136640,0,0.0,1341882,55.844
14:07:14.976199,16.3,1000.0,891674624,701177856,21.4,165609472,417075200,0,0.0,1350106,55.844
14:07:15.990138,13.2,1000.0,891674624,701276160,21.4,165511168,417173504,0,0.0,1358331,55.844
14:07:17.002535,14.5,1100.0,891674624,701050880,21.4,165769216,416915456,0,0.0,1366170,56.382
14:07:18.015650,15.7,1000.0,891674624,701149184,21.4,165670912,417013760,0,0.0,1374386,56.382
14:07:19.029564,16.3,1000.0,891674624,701083648,21.4,165736448,416948224,0,0.0,1382512,56.382
14:07:20.042720,15.8,1000.0,891674624,701280256,21.4,165474304,417210368,0,0.0,1390729,56.92
14:07:21.056441,15.7,1000.0,891674624,701272064,21.4,165679104,417005568,0,0.0,1398967,56.382
14:07:22.069424,14.1,1200.0,891674624,701243392,21.4,165535744,417140736,0,0.0,1406818,56.382
14:07:23.083044,14.2,1000.0,891674624,701337600,21.3,165572608,417103872,0,0.0,1415058,56.382
14:07:24.095933,14.4,1100.0,891674624,700919808,21.4,165892096,416784384,0,0.0,1422937,56.92
14:07:25.109782,14.6,1000.0,891674624,701112320,21.4,165666816,417042432,0,0.0,1431146,55.844
14:07:26.122375,17.0,1200.0,891674624,701145088,21.4,165666816,417009664,0,0.0,1439370,56.92
14:07:27.135833,14.5,1000.0,891674624,701317120,21.3,165363712,417304576,0,0.0,1447535,56.92
14:07:28.149620,13.5,1000.0,891674624,701251584,21.4,165593088,417075200,0,0.0,1455748,56.92
